model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SeasonalNaive,24,24,summer_2023,0,4255.458333333333,4751.927288830641,0.9648989805257749,2.6999972760677338e-05,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,1,3921.0416666666665,4383.653275712698,0.8890720600246552,1.190020702779293e-05,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,2,3210.1666666666665,4274.213660624217,0.7278855299138147,9.899958968162537e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,3,2760.0,3182.661412507882,0.6258130094684997,9.09995287656784e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,4,3353.5416666666665,3680.484495959737,0.7603949285487952,9.100185707211494e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,5,2861.3333333333335,3998.8868346912077,0.6487897189948794,9.00006853044033e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,6,3609.9166666666665,3993.0584038637185,0.8185263815569425,8.799834176898003e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,7,1967.625,2225.6003403576306,0.4461468560708176,8.499948307871819e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,8,1875.7083333333333,2134.9534245505215,0.4253053177422018,8.600065484642982e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,summer_2023,9,3136.7083333333335,4221.755119812928,0.7112293050392229,8.700182661414146e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,0,3171.25,3407.594716218465,0.7190614153177463,1.0999850928783417e-05,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,1,2722.0,3178.05728131721,0.6171967433961073,9.600073099136353e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,2,3117.3333333333335,3394.4402459512135,0.7068361430615229,9.399838745594025e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,3,1007.75,1123.3675563530694,0.228501108801406,9.100185707211494e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,4,1790.7916666666667,2326.844026788216,0.4060509863216583,8.899951353669167e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,5,1023.2083333333334,1303.7039381444445,0.23200619072339895,8.699949830770493e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,6,529.5416666666666,624.7529178269865,0.12007031306363469,8.499948307871819e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,7,728.625,867.5960801740251,0.16521123334202376,8.299946784973145e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,8,446.2916666666667,507.84458744777424,0.10119388804977507,8.400063961744308e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,winter_2022,9,1590.0833333333333,1887.4750770981498,0.36054160729675244,9.699957445263863e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,0,978.6666666666666,1063.6891776579598,0.22190664200477234,1.0800082236528397e-05,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,1,1123.1666666666667,1437.5881422252573,0.25467112746426446,9.499955922365189e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,2,1154.4166666666667,1956.255713516683,0.26175687258958713,8.700182661414146e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,3,1044.9583333333333,1264.8061610381253,0.23693786933062352,8.699949830770493e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,4,1358.375,1413.6335422119364,0.3080031691075265,8.800067007541656e-06,2026-02-06T11:33:18.779149
SeasonalNaive,24,24,covid_2020,5,2074.6666666666665,3347.351403224147,0.4704178950400896,8.499948307871819e-06,2026-02-06T11:33:18.779149
